SKU,Produto,Quantidade Vendida,Vendedor,Mês,Ano,Cidade,Estado,Preço,Total
HL1918,iPhone,4,Myllena Carneiro,1,2018,São Paulo,São Paulo,5300,21200
HL8851,Notebook,5,Breno Farias,6,2018,Porto Alegre,Rio Grande do Sul,3500,17500
HL7348,SmartWatch,1,Vivianne Rodrigues,8,2018,Goiânia,Goiás,1400,1400
HL1918,iPhone,4,Ulisses Arruda,5,2018,Salvador,Bahia,5300,21200
HL4379,Televisão,2,Lorena Kohn,7,2018,Porto Alegre,Rio Grande do Sul,2500,5000
HL1918,iPhone,3,Raphael Guedes,7,2018,Fortaleza,Ceará,5300,15900
HL1918,iPhone,5,Lucas Lemos,12,2018,Belo Horizonte,Minas Gerais,5300,26500
HL1918,iPhone,4,Juliana Goes,3,2018,Porto Alegre,Rio Grande do Sul,5300,21200
HL1148,Câmera,3,Kim Ferreira,3,2018,São Paulo,São Paulo,2100,6300
HL1918,iPhone,5,Ana Silva,5,2018,São Paulo,São Paulo,5300,26500
HL9962,Android,1,Alexandre Dantas,1,2018,Recife,Pernambuco,3400,3400
HL4379,Televisão,3,Pedro Conceição,5,2018,Curitiba,Paraná,2500,7500
HL1148,Câmera,1,Marina Mesquita,8,2018,Recife,Pernambuco,2100,2100
HL2714,Tablet,3,Sandy Ribeiro,5,2018,Curitiba,Paraná,1600,4800
HL1148,Câmera,3,Adrielle Vieira,11,2018,São Paulo,São Paulo,2100,6300
HL1148,Câmera,5,Jackson Derossi,11,2018,Rio de Janeiro,Rio de Janeiro,2100,10500
HL7348,SmartWatch,4,Isabela Teixeira,8,2018,Curitiba,Paraná,1400,5600
HL1148,Câmera,1,Willian Albino,1,2018,Rio de Janeiro,Rio de Janeiro,2100,2100
HL1918,iPhone,3,Carolina Costa,3,2018,Curitiba,Paraná,5300,15900
HL8851,Notebook,5,Bernardo Botelho,6,2018,Belo Horizonte,Minas Gerais,3500,17500
HL8851,Notebook,3,Carlos Melo,1,2018,Porto Alegre,Rio Grande do Sul,3500,10500
HL4379,Televisão,2,Carolina Figueiredo,2,2018,São Paulo,São Paulo,2500,5000
HL9962,Android,3,Raissa Negrelli,3,2018,Salvador,Bahia,3400,10200
HL9962,Android,4,Raphael Machado,12,2018,Porto Alegre,Rio Grande do Sul,3400,13600
HL2714,Tablet,4,Jéssica Resinente,2,2018,Rio de Janeiro,Rio de Janeiro,1600,6400
HL1918,iPhone,3,Stephanie Gonçalves,9,2018,Rio de Janeiro,Rio de Janeiro,5300,15900
HL7348,SmartWatch,2,Caroline Aquino,4,2018,Porto Alegre,Rio Grande do Sul,1400,2800
HL9962,Android,3,Marcelo Guadagnino,12,2018,São Paulo,São Paulo,3400,10200
HL8851,Notebook,1,Guilherme Vianna,4,2018,Rio de Janeiro,Rio de Janeiro,3500,3500
HL7348,SmartWatch,5,Thiago Lima,1,2018,Rio de Janeiro,Rio de Janeiro,1400,7000
HL4379,Televisão,2,Lucas Junior,8,2018,Recife,Pernambuco,2500,5000
HL8851,Notebook,2,Victor Gomes,3,2018,Curitiba,Paraná,3500,7000
HL2714,Tablet,2,Deysiane Medronho,10,2018,São Paulo,São Paulo,1600,3200
HL4379,Televisão,4,Jackson Derossi,6,2018,São Paulo,São Paulo,2500,10000
HL1918,iPhone,3,Livia Codeceira,1,2018,Rio de Janeiro,Rio de Janeiro,5300,15900
HL4379,Televisão,3,João Alves,5,2018,Curitiba,Paraná,2500,7500
HL2714,Tablet,5,Lucas Costa,9,2018,Fortaleza,Ceará,1600,8000
HL9962,Android,5,Thales Fanara,4,2018,Curitiba,Paraná,3400,17000
HL1148,Câmera,2,Victor Lira,7,2018,São Paulo,São Paulo,2100,4200
HL1918,iPhone,1,João Abraçado,4,2018,São Paulo,São Paulo,5300,5300
HL1918,iPhone,3,Victoria Tavares,9,2018,Rio de Janeiro,Rio de Janeiro,5300,15900
HL4379,Televisão,3,Jonatas Essaber,2,2018,Curitiba,Paraná,2500,7500
HL4379,Televisão,4,Luíza Goulart,7,2018,Recife,Pernambuco,2500,10000
HL1148,Câmera,4,Ulisses Filho,9,2018,Porto Alegre,Rio Grande do Sul,2100,8400
HL1148,Câmera,4,Matheus Gomes,1,2018,São Paulo,São Paulo,2100,8400
HL1918,iPhone,1,João Aires,10,2018,Rio de Janeiro,Rio de Janeiro,5300,5300
HL1918,iPhone,2,Breno Caputo,3,2018,Salvador,Bahia,5300,10600
HL1918,iPhone,3,Aline Andrade,11,2018,Porto Alegre,Rio Grande do Sul,5300,15900
HL1918,iPhone,4,Lucas Fontoura,5,2018,São Paulo,São Paulo,5300,21200
HL7348,SmartWatch,2,Pedro Rodrigues,7,2018,Goiânia,Goiás,1400,2800
HL1148,Câmera,3,Carla Zakhm,6,2018,Recife,Pernambuco,2100,6300
HL1148,Câmera,4,Lucas Aragão,3,2018,Rio de Janeiro,Rio de Janeiro,2100,8400
HL1918,iPhone,1,Raul Junqueira,1,2018,Fortaleza,Ceará,5300,5300
HL1918,iPhone,4,Victor Soares,4,2018,Salvador,Bahia,5300,21200
HL1148,Câmera,3,Carolina Rocha,2,2018,Rio de Janeiro,Rio de Janeiro,2100,6300
HL4379,Televisão,1,Caio Fernandes,7,2018,Rio de Janeiro,Rio de Janeiro,2500,2500
HL1918,iPhone,4,Rubens Netto,1,2018,Fortaleza,Ceará,5300,21200
HL1918,iPhone,2,Isabel Leite,6,2018,Fortaleza,Ceará,5300,10600
HL1148,Câmera,2,Mariana Barrozo,8,2018,São Paulo,São Paulo,2100,4200
HL4379,Televisão,2,Raíza Lopes,4,2018,Belo Horizonte,Minas Gerais,2500,5000
HL4379,Televisão,4,Débora Lopes,3,2018,Fortaleza,Ceará,2500,10000
HL1918,iPhone,3,Beatriz Cavalcanti,10,2018,Curitiba,Paraná,5300,15900
HL4379,Televisão,2,Pedro Rodrigues,4,2018,Salvador,Bahia,2500,5000
HL4379,Televisão,4,Maurício Dias,9,2018,São Paulo,São Paulo,2500,10000
HL8851,Notebook,4,Allan Candido,4,2018,Recife,Pernambuco,3500,14000
HL4379,Televisão,5,Alexandre Dantas,9,2018,Porto Alegre,Rio Grande do Sul,2500,12500
HL1918,iPhone,4,Bianca Ferezin,6,2018,Curitiba,Paraná,5300,21200
HL4379,Televisão,2,Roberta Pimenta,10,2018,Rio de Janeiro,Rio de Janeiro,2500,5000
HL2714,Tablet,3,Caio Cardoso,6,2018,Goiânia,Goiás,1600,4800
HL8851,Notebook,1,Paola Abreu,8,2018,Belo Horizonte,Minas Gerais,3500,3500
HL8851,Notebook,1,Gustavo Gomes,7,2018,São Paulo,São Paulo,3500,3500
HL9962,Android,3,Wilson Meirelles,6,2018,Salvador,Bahia,3400,10200
HL8851,Notebook,3,Wilson Vianna,10,2018,Porto Alegre,Rio Grande do Sul,3500,10500
HL1918,iPhone,1,Raphael Guedes,7,2018,Rio de Janeiro,Rio de Janeiro,5300,5300
HL1148,Câmera,2,Laura Araujo,12,2018,Curitiba,Paraná,2100,4200
HL2714,Tablet,4,Lucas Freire,1,2018,Goiânia,Goiás,1600,6400
HL4379,Televisão,1,David Assumpção,4,2018,Rio de Janeiro,Rio de Janeiro,2500,2500
HL9962,Android,5,Marina Mesquita,2,2018,São Paulo,São Paulo,3400,17000
HL1148,Câmera,3,Ana Michetti,5,2018,São Paulo,São Paulo,2100,6300
HL7348,SmartWatch,5,Bárbara Lima,5,2018,Recife,Pernambuco,1400,7000
HL9962,Android,5,Diego Marchesi,11,2018,Salvador,Bahia,3400,17000
HL4379,Televisão,5,Bruno Ursulino,8,2018,Salvador,Bahia,2500,12500
HL9962,Android,5,Caio Fernandes,7,2018,Goiânia,Goiás,3400,17000
HL1918,iPhone,3,Rilson Dias,6,2018,Fortaleza,Ceará,5300,15900
HL7348,SmartWatch,3,Carlos Barbosa,2,2018,Porto Alegre,Rio Grande do Sul,1400,4200
HL1918,iPhone,4,Kim Ferreira,5,2018,Goiânia,Goiás,5300,21200
HL9962,Android,1,Rafael Portela,3,2018,São Paulo,São Paulo,3400,3400
HL4379,Televisão,4,Beatriz Rocha,10,2018,Goiânia,Goiás,2500,10000
HL1918,iPhone,3,Roberta Nogueira,10,2018,Porto Alegre,Rio Grande do Sul,5300,15900
HL2714,Tablet,3,Bianca Ferezin,1,2018,São Paulo,São Paulo,1600,4800
HL8851,Notebook,2,Lucas Costa,12,2018,Fortaleza,Ceará,3500,7000
HL4379,Televisão,2,Leandro Ferreira,1,2018,Goiânia,Goiás,2500,5000
HL4379,Televisão,3,Bernardo Souza,9,2018,Curitiba,Paraná,2500,7500
HL1918,iPhone,3,Eduardo Nunes,10,2018,Fortaleza,Ceará,5300,15900
HL7348,SmartWatch,1,Pedro Rodrigues,4,2018,Porto Alegre,Rio Grande do Sul,1400,1400
HL4379,Televisão,5,Fernanda Junior,7,2018,São Paulo,São Paulo,2500,12500
HL1148,Câmera,3,Juan Fernandes,3,2018,Recife,Pernambuco,2100,6300
HL9962,Android,3,Rodrigo Alves,8,2018,São Paulo,São Paulo,3400,10200
HL1918,iPhone,1,Thomáz Bôas,7,2018,Goiânia,Goiás,5300,5300
HL7348,SmartWatch,5,Andreza Ramos,1,2018,Fortaleza,Ceará,1400,7000
HL8851,Notebook,4,Carla Zakhm,1,2018,São Paulo,São Paulo,3500,14000
HL2714,Tablet,2,Gabrielle Porto,4,2018,Recife,Pernambuco,1600,3200
HL2714,Tablet,4,Kimberly Sad,5,2018,Salvador,Bahia,1600,6400
HL7348,SmartWatch,1,João Capitulo,2,2018,Curitiba,Paraná,1400,1400
HL1148,Câmera,1,Marina Marins,1,2018,Salvador,Bahia,2100,2100
HL1148,Câmera,1,Aline Morais,9,2018,Rio de Janeiro,Rio de Janeiro,2100,2100
HL8851,Notebook,1,João Monteiro,2,2018,São Paulo,São Paulo,3500,3500
HL8851,Notebook,4,Marina Delgado,5,2018,Belo Horizonte,Minas Gerais,3500,14000
HL2714,Tablet,1,Sthefeson Barroso,3,2018,São Paulo,São Paulo,1600,1600
HL4379,Televisão,4,Marcelo Guadagnino,7,2018,Fortaleza,Ceará,2500,10000
HL1918,iPhone,1,Thais Rodrigues,3,2018,Rio de Janeiro,Rio de Janeiro,5300,5300
HL9962,Android,4,Philipe Morete,10,2018,Goiânia,Goiás,3400,13600
HL4379,Televisão,2,Ravena Bhering,11,2018,Porto Alegre,Rio Grande do Sul,2500,5000
HL1148,Câmera,2,Patrícia Amaral,6,2018,São Paulo,São Paulo,2100,4200
HL1918,iPhone,3,Diego Rodrigues,2,2018,São Paulo,São Paulo,5300,15900
HL1918,iPhone,3,Katharina Barros,3,2018,Fortaleza,Ceará,5300,15900
HL4379,Televisão,3,Felipe Jorge,7,2018,Goiânia,Goiás,2500,7500
HL1918,iPhone,3,Rafaela Ferreira,12,2018,Fortaleza,Ceará,5300,15900
HL2714,Tablet,5,Bruna Gomes,8,2018,Porto Alegre,Rio Grande do Sul,1600,8000
HL4379,Televisão,3,João Rodrigues,1,2018,Rio de Janeiro,Rio de Janeiro,2500,7500
HL1918,iPhone,5,Stephanie Gonçalves,12,2018,Rio de Janeiro,Rio de Janeiro,5300,26500
HL9962,Android,4,Gabriella Sagrillo,7,2018,Fortaleza,Ceará,3400,13600
HL2714,Tablet,4,Felipe Mendonça,12,2018,São Paulo,São Paulo,1600,6400
HL4379,Televisão,5,Pedro Sena,7,2018,Rio de Janeiro,Rio de Janeiro,2500,12500
HL7348,SmartWatch,1,Luiza Farias,7,2018,Salvador,Bahia,1400,1400
HL9962,Android,2,Samara Pinto,12,2018,São Paulo,São Paulo,3400,6800
HL2714,Tablet,2,Philipe Morete,7,2018,Rio de Janeiro,Rio de Janeiro,1600,3200
HL4379,Televisão,2,Larissa Florim,3,2018,Rio de Janeiro,Rio de Janeiro,2500,5000
HL1918,iPhone,1,Paloma Sperandei,4,2018,São Paulo,São Paulo,5300,5300
HL4379,Televisão,1,Arthur Souza,6,2018,Salvador,Bahia,2500,2500
HL4379,Televisão,4,Platini Heimlich,8,2018,Rio de Janeiro,Rio de Janeiro,2500,10000
HL4379,Televisão,4,Dykson Silva,12,2018,São Paulo,São Paulo,2500,10000
HL9962,Android,2,Catarina Teixeira,5,2018,Salvador,Bahia,3400,6800
HL9962,Android,2,João Junior,1,2018,Goiânia,Goiás,3400,6800
HL2714,Tablet,4,Priscila Carvalho,2,2018,São Paulo,São Paulo,1600,6400
HL9962,Android,5,Gustavo Azevedo,5,2018,Rio de Janeiro,Rio de Janeiro,3400,17000
HL4379,Televisão,4,Daniela Rosa,4,2018,São Paulo,São Paulo,2500,10000
HL2714,Tablet,4,Isabelle Firmino,12,2018,Rio de Janeiro,Rio de Janeiro,1600,6400
HL1918,iPhone,4,Roberto Tiradentes,10,2018,São Paulo,São Paulo,5300,21200
HL1918,iPhone,4,Marina Gama,7,2018,Goiânia,Goiás,5300,21200
HL1148,Câmera,4,Caio Silva,1,2018,Rio de Janeiro,Rio de Janeiro,2100,8400
HL8851,Notebook,5,Giovana Vilela,7,2018,Belo Horizonte,Minas Gerais,3500,17500
HL4379,Televisão,5,Adriana Carneiro,7,2018,Rio de Janeiro,Rio de Janeiro,2500,12500
HL1918,iPhone,1,Lucas Fontoura,12,2018,São Paulo,São Paulo,5300,5300
HL4379,Televisão,3,Roberta Nogueira,6,2018,Fortaleza,Ceará,2500,7500
HL9962,Android,3,Bianca Paz,9,2018,Porto Alegre,Rio Grande do Sul,3400,10200
HL8851,Notebook,3,Renan Melo,12,2018,Curitiba,Paraná,3500,10500
HL1918,iPhone,4,Ana Monte,7,2018,São Paulo,São Paulo,5300,21200
HL9962,Android,2,João Júnior,5,2018,Salvador,Bahia,3400,6800
HL4379,Televisão,4,Rilson Guedes,3,2018,Goiânia,Goiás,2500,10000
HL1148,Câmera,4,Juliana Silva,8,2018,São Paulo,São Paulo,2100,8400
HL4379,Televisão,3,João Guadagnino,6,2018,Fortaleza,Ceará,2500,7500
HL1148,Câmera,5,Michelle Figueiredo,2,2018,Fortaleza,Ceará,2100,10500
HL1918,iPhone,2,Brenno Santos,9,2018,Rio de Janeiro,Rio de Janeiro,5300,10600
HL2714,Tablet,1,Rafaela Gonçalves,2,2018,Salvador,Bahia,1600,1600
HL4379,Televisão,1,Pedro Delgado,3,2018,São Paulo,São Paulo,2500,2500
HL4379,Televisão,1,Vanessa Bach,7,2018,São Paulo,São Paulo,2500,2500
HL1918,iPhone,4,Felipe Mello,3,2018,Goiânia,Goiás,5300,21200
HL1918,iPhone,4,Luis Souza,5,2018,São Paulo,São Paulo,5300,21200
HL8851,Notebook,1,Gabrielle Vasconcelos,6,2018,Rio de Janeiro,Rio de Janeiro,3500,3500
HL4379,Televisão,1,Marcela Medeiros,12,2018,Rio de Janeiro,Rio de Janeiro,2500,2500
HL1918,iPhone,2,Eduardo Silva,3,2018,Recife,Pernambuco,5300,10600
HL1918,iPhone,4,Matheus Delgado,3,2018,Salvador,Bahia,5300,21200
HL1918,iPhone,2,Matheus Miranda,12,2018,Fortaleza,Ceará,5300,10600
HL7348,SmartWatch,4,Eric Carvalho,12,2018,Rio de Janeiro,Rio de Janeiro,1400,5600
HL4379,Televisão,3,Khaio Mesquita,1,2018,São Paulo,São Paulo,2500,7500
HL4379,Televisão,2,Guilherme Lima,5,2018,Porto Alegre,Rio Grande do Sul,2500,5000
HL2714,Tablet,2,Carlos Silva,5,2018,Salvador,Bahia,1600,3200
HL1918,iPhone,2,Matheus Figueiredo,6,2018,Salvador,Bahia,5300,10600
HL1918,iPhone,5,Gabriel Brito,7,2018,Belo Horizonte,Minas Gerais,5300,26500
HL7348,SmartWatch,1,Amanda Delgado,10,2018,Belo Horizonte,Minas Gerais,1400,1400
HL8851,Notebook,2,Thales Santos,10,2018,Rio de Janeiro,Rio de Janeiro,3500,7000
HL1918,iPhone,5,Isabella Scalabrin,6,2018,Belo Horizonte,Minas Gerais,5300,26500
HL2714,Tablet,2,Diogo Ressurreição,4,2018,São Paulo,São Paulo,1600,3200
HL4379,Televisão,5,Mônica Rotolo,9,2018,Fortaleza,Ceará,2500,12500
HL2714,Tablet,5,Lucas Lima,10,2018,São Paulo,São Paulo,1600,8000
HL4379,Televisão,5,Sthefeson Pereira,3,2018,Curitiba,Paraná,2500,12500
HL7348,SmartWatch,1,Guilherme Lima,7,2018,Curitiba,Paraná,1400,1400
HL1918,iPhone,4,Eduardo Pacheco,12,2018,Curitiba,Paraná,5300,21200
HL1918,iPhone,2,Adrielle Vieira,8,2018,Rio de Janeiro,Rio de Janeiro,5300,10600
HL8851,Notebook,3,Beatriz Silva,9,2018,Goiânia,Goiás,3500,10500
HL1918,iPhone,3,Raphael Ferman,4,2018,Recife,Pernambuco,5300,15900
HL8851,Notebook,1,Juliana Correa,5,2018,Fortaleza,Ceará,3500,3500
HL1918,iPhone,5,Guilherme Monteiro,7,2018,Belo Horizonte,Minas Gerais,5300,26500
HL9962,Android,2,Lucas Freire,2,2018,Fortaleza,Ceará,3400,6800
HL7348,SmartWatch,3,Vanessa Rodrigues,10,2018,Goiânia,Goiás,1400,4200
HL4379,Televisão,1,Jonatas Passos,12,2018,Fortaleza,Ceará,2500,2500
HL1918,iPhone,1,Anna Silva,7,2018,Curitiba,Paraná,5300,5300
HL1918,iPhone,5,Caio Moraes,6,2018,Fortaleza,Ceará,5300,26500
HL1148,Câmera,2,Pedro Santos,4,2018,Rio de Janeiro,Rio de Janeiro,2100,4200
HL4379,Televisão,5,Clara Bruno,1,2018,Porto Alegre,Rio Grande do Sul,2500,12500
HL9962,Android,5,Vinícius Antunes,1,2018,Salvador,Bahia,3400,17000
HL7348,SmartWatch,4,Giuseppe Borges,7,2018,Curitiba,Paraná,1400,5600
HL1918,iPhone,3,José Vieira,8,2018,São Paulo,São Paulo,5300,15900
HL9962,Android,1,Camilla Vieira,12,2018,Rio de Janeiro,Rio de Janeiro,3400,3400
HL9962,Android,4,Giovana Vilela,1,2018,Porto Alegre,Rio Grande do Sul,3400,13600
HL9962,Android,4,Thomáz Bôas,2,2018,Salvador,Bahia,3400,13600
HL8851,Notebook,3,Daniel Nauenberg,7,2018,Fortaleza,Ceará,3500,10500
HL7348,SmartWatch,4,Camila Bastazini,4,2018,Goiânia,Goiás,1400,5600
HL1918,iPhone,2,Viviane Souza,8,2018,Fortaleza,Ceará,5300,10600
HL8851,Notebook,2,Isabela Resende,8,2018,Salvador,Bahia,3500,7000
HL9962,Android,3,Roberta Teixeira,7,2018,Rio de Janeiro,Rio de Janeiro,3400,10200
HL1918,iPhone,4,Victor Oliveira,1,2018,Curitiba,Paraná,5300,21200
HL2714,Tablet,3,João Menezes,8,2018,Curitiba,Paraná,1600,4800
HL1918,iPhone,3,Marina Aragão,12,2018,Fortaleza,Ceará,5300,15900
HL1918,iPhone,1,Bárbara Cavalcante,3,2018,Salvador,Bahia,5300,5300
HL1148,Câmera,4,Breno Costa,11,2018,Salvador,Bahia,2100,8400
HL4379,Televisão,5,Sthefeson Barroso,2,2018,Salvador,Bahia,2500,12500
HL1918,iPhone,1,Carlos Azevedo,8,2018,Salvador,Bahia,5300,5300
HL1918,iPhone,1,João Silva,10,2018,Rio de Janeiro,Rio de Janeiro,5300,5300
HL1918,iPhone,3,Eduardo Veiga,8,2018,Rio de Janeiro,Rio de Janeiro,5300,15900
HL1148,Câmera,3,Wilson Brandão,4,2018,Rio de Janeiro,Rio de Janeiro,2100,6300
HL4379,Televisão,4,Rilson Guedes,9,2018,Recife,Pernambuco,2500,10000
HL2714,Tablet,1,Bernardo Borges,8,2018,Salvador,Bahia,1600,1600
HL4379,Televisão,3,Isabel Lacerda,1,2018,Belo Horizonte,Minas Gerais,2500,7500
HL4379,Televisão,5,Carlos Melo,8,2018,Curitiba,Paraná,2500,12500
HL2714,Tablet,2,Marina Marins,7,2018,São Paulo,São Paulo,1600,3200
HL1918,iPhone,4,Julia Teixeira,6,2018,Goiânia,Goiás,5300,21200
HL1918,iPhone,5,Roberto Mattos,2,2018,Curitiba,Paraná,5300,26500
HL2714,Tablet,2,Raissa Sales,9,2018,Goiânia,Goiás,1600,3200
HL1918,iPhone,1,Tiago Pereira,11,2018,São Paulo,São Paulo,5300,5300
HL1918,iPhone,1,Katharina Barros,12,2018,Rio de Janeiro,Rio de Janeiro,5300,5300
HL8851,Notebook,5,Matheus Afonso,2,2018,Salvador,Bahia,3500,17500
HL1918,iPhone,4,Rafael Ramos,2,2018,Salvador,Bahia,5300,21200
HL4379,Televisão,3,Guilherme Monteiro,10,2018,Salvador,Bahia,2500,7500
HL1918,iPhone,4,Larissa Vasconcellos,5,2018,São Paulo,São Paulo,5300,21200
HL1148,Câmera,2,Antonio Bernhardt,6,2018,Fortaleza,Ceará,2100,4200
HL9962,Android,2,Amanda Delgado,5,2018,São Paulo,São Paulo,3400,6800
HL8851,Notebook,5,Arthur Rocha,9,2018,São Paulo,São Paulo,3500,17500
HL7348,SmartWatch,4,Matheus Gomes,6,2018,Curitiba,Paraná,1400,5600
HL1918,iPhone,3,Paola Abreu,12,2018,Recife,Pernambuco,5300,15900
HL9962,Android,2,Jonatas Essaber,4,2018,Fortaleza,Ceará,3400,6800
HL1918,iPhone,2,Luana Santos,11,2018,São Paulo,São Paulo,5300,10600
HL1918,iPhone,1,Lorena Carvalho,2,2018,Goiânia,Goiás,5300,5300
HL4379,Televisão,4,Leonardo Ferreira,2,2018,Porto Alegre,Rio Grande do Sul,2500,10000
HL7348,SmartWatch,5,Leandro Rodrigues,9,2018,Salvador,Bahia,1400,7000
HL4379,Televisão,5,Marcelo Guadagnino,10,2018,Rio de Janeiro,Rio de Janeiro,2500,12500
HL1918,iPhone,3,João Peçanha,9,2018,Recife,Pernambuco,5300,15900
HL1918,iPhone,2,Tayla Lima,3,2018,São Paulo,São Paulo,5300,10600
HL8851,Notebook,5,Isabela Resende,7,2018,Salvador,Bahia,3500,17500
HL4379,Televisão,1,Lucas Junior,10,2018,São Paulo,São Paulo,2500,2500
HL1918,iPhone,4,Raissa Sales,7,2018,Salvador,Bahia,5300,21200
HL9962,Android,3,Victor Ferreira,3,2018,Recife,Pernambuco,3400,10200
HL7348,SmartWatch,5,Patrick Silva,10,2018,Recife,Pernambuco,1400,7000
HL1918,iPhone,2,Gabrielle Silva,10,2018,Porto Alegre,Rio Grande do Sul,5300,10600
HL7348,SmartWatch,4,Beatriz Biase,11,2018,Goiânia,Goiás,1400,5600
HL1918,iPhone,5,Bernard Pedrosa,6,2018,Recife,Pernambuco,5300,26500
HL1918,iPhone,4,Victor Zakhm,1,2018,Rio de Janeiro,Rio de Janeiro,5300,21200
HL9962,Android,5,Bernardo Nauenberg,2,2018,Fortaleza,Ceará,3400,17000
HL7348,SmartWatch,3,Isabella Rodrigues,7,2018,Rio de Janeiro,Rio de Janeiro,1400,4200
HL1918,iPhone,1,Giselia Thiele,12,2018,São Paulo,São Paulo,5300,5300
HL1918,iPhone,3,Natalia Guedes,2,2018,São Paulo,São Paulo,5300,15900
HL1918,iPhone,4,Hanna Fonseca,10,2018,Salvador,Bahia,5300,21200
HL1918,iPhone,1,Dykson Silva,3,2018,São Paulo,São Paulo,5300,5300
HL8851,Notebook,5,Clara Silveira,5,2018,Curitiba,Paraná,3500,17500
HL8851,Notebook,1,Lucas Freire,3,2018,São Paulo,São Paulo,3500,3500
HL9962,Android,1,João Matheus,5,2018,São Paulo,São Paulo,3400,3400
